"giver","receiver","yearmonth","direct.cont","indirect.cont","hr.diff.m"
"D1080","D1084","Apr 2021",0,0,804.637875506641
"D1080","D1085","Apr 2021",0,0,1349.02948256162
"D1080","D1086","Apr 2021",0,0,1168.52899148344
"D1080","D1087","Apr 2021",0,0,1343.59833907719
"D1080","D1088","Apr 2021",0,0,874.572686752308
"D1081","D1021","Apr 2021",0,46,617.819835451297
"D1081","D1035","Apr 2021",0,32,804.566469671149
"D1081","D1041","Apr 2021",0,0,1726.20435848159
"D1081","D1042","Apr 2021",0,0,1592.99490929458
"D1081","D1074","Apr 2021",0,148,560.215663767799
"D1081","D1076","Apr 2021",0,31,985.203735270008
"D1081","D1077","Apr 2021",0,0,1663.77585958483
"D1081","D1078","Apr 2021",0,0,1995.43955576228
"D1081","D1079","Apr 2021",0,0,2175.06442557872
"D1081","D1080","Apr 2021",0,0,1608.89352753961
"D1081","D1082","Apr 2021",0,911,336.853037589524
"D1081","D1084","Apr 2021",0,86,805.245108331074
"D1081","D1085","Apr 2021",0,986,678.151432712507
"D1081","D1086","Apr 2021",0,1,998.570287985905
"D1081","D1087","Apr 2021",0,9,862.770062591017
"D1081","D1088","Apr 2021",0,25,915.781441273711
"D1082","D1021","Apr 2021",0,1052,287.895233464421
"D1082","D1035","Apr 2021",0,52,612.527369876577
"D1082","D1041","Apr 2021",0,0,1494.94248410125
"D1082","D1042","Apr 2021",0,0,1364.85395812621
"D1082","D1074","Apr 2021",3,830,242.089032591777
"D1082","D1076","Apr 2021",0,10,653.001694487988
"D1082","D1077","Apr 2021",0,0,1417.28639355218
"D1082","D1078","Apr 2021",0,0,1749.88713172264
"D1082","D1079","Apr 2021",0,0,1967.88096421037
"D1082","D1080","Apr 2021",0,0,1377.20629584699
"D1082","D1081","Apr 2021",0,1410,336.853037589524
"D1082","D1084","Apr 2021",0,31,609.759065964465
"D1082","D1085","Apr 2021",0,892,796.860886762805
"D1082","D1086","Apr 2021",0,0,1044.3929291594
"D1082","D1087","Apr 2021",0,0,972.144982349746
"D1082","D1088","Apr 2021",0,7,845.585150836526
"D1084","D1021","Apr 2021",0,736,475.933810040293
"D1084","D1035","Apr 2021",93,6276,8.83825000207036
"D1084","D1041","Apr 2021",0,0,1859.08133209647
"D1084","D1042","Apr 2021",0,0,788.161857739165
"D1084","D1074","Apr 2021",0,1,680.054227251903
"D1084","D1076","Apr 2021",0,232,798.206473215593
"D1084","D1077","Apr 2021",0,0,864.860771948344
"D1084","D1078","Apr 2021",0,4,1193.89155946527
"D1084","D1079","Apr 2021",0,1,1373.63714311728
"D1084","D1080","Apr 2021",0,2,804.637875506641
"D1084","D1081","Apr 2021",0,16,805.245108331074
"D1084","D1082","Apr 2021",0,64,609.759065964465
"D1084","D1085","Apr 2021",0,185,679.833858864372
"D1084","D1086","Apr 2021",0,670,703.061529986545
"D1084","D1087","Apr 2021",0,61,766.825163222965
"D1084","D1088","Apr 2021",0,857,365.048228805352
"D1085","D1021","Apr 2021",0,199,916.275513607613
"D1085","D1035","Apr 2021",0,164,672.334080645689
"D1085","D1041","Apr 2021",0,6,2288.64994694187
"D1085","D1042","Apr 2021",0,0,1326.19897745114
"D1085","D1074","Apr 2021",1,250,1017.21400980357
"D1085","D1076","Apr 2021",1,45,1336.97987448867
"D1085","D1077","Apr 2021",0,0,1436.12290354438
"D1085","D1078","Apr 2021",0,1,1733.89710627858
"D1085","D1079","Apr 2021",0,4,1807.46709602206
"D1085","D1080","Apr 2021",0,0,1349.02948256162
"D1085","D1081","Apr 2021",0,649,678.151432712507
"D1085","D1082","Apr 2021",0,661,796.860886762805
"D1085","D1084","Apr 2021",0,133,679.833858864372
"D1085","D1086","Apr 2021",0,303,347.883807088048
"D1085","D1087","Apr 2021",0,215,184.990529447104
"D1085","D1088","Apr 2021",1,358,476.160117499112
"D1086","D1021","Apr 2021",0,14,1083.25724014544
"D1086","D1035","Apr 2021",3,609,694.232992810453
"D1086","D1041","Apr 2021",0,0,2495.3386331304
